Gene,Type
CD79A,B cell
CD79B,B cell
IGHM,B cell
IGHA1,B cell
IGHA2,B cell
IGHG1,B cell
IGHG2,B cell
IGHG3,B cell
IGHG4,B cell
IGHGP,B cell
IGKC,B cell
IGLC2,B cell
IGLC3,B cell
IGLL5,B cell
CD3D,T cell
CD3E,T cell
TRAC,T cell
TRBC2,T cell
CD4,T cell
CD40LG,T cell
IL7R,T cell
LTB,T cell
RCAN3,T cell
S100A4,T cell
SPOCK2,T cell
CD8A,T cell
CD8B,T cell
