"geneid","gene_name"
"5655","ENSG00000125871","MGME1"
"5657","ENSG00000234999","SNRPCP19"
"5658","ENSG00000234839","RPS26P30"
"5660","ENSG00000122679","RAMP3"
"5662","ENSG00000105137","SYDE1"
"5665","ENSG00000183778","B3GALT5"
"5666","ENSG00000218902","PTMAP3"
"5667","ENSG00000227343","RPL15P1"
"5668","ENSG00000249382","LINC02619"
"5669","ENSG00000252597","RNU7-137P"
"5672","ENSG00000232943","GGCTP2"
"5673","ENSG00000266720","RN7SL14P"
"5674","ENSG00000252635","RNU2-56P"
"5676","ENSG00000199719","RN7SKP74"
"5678","ENSG00000232838","PET117"
"5680","ENSG00000164649","CDCA7L"
"5683","ENSG00000284275","MIR564"
"5685","ENSG00000237140","HSPE1P16"
"5686","ENSG00000280516","TMEM42"
"5688","ENSG00000251212","MTND5P4"
"5690","ENSG00000125869","LAMP5"
"5692","ENSG00000268736","MTCO3P39"
"5699","ENSG00000253964","RPL31P40"
"5700","ENSG00000164038","SLC9B2"
"5703","ENSG00000160294","MCM3AP"
"5704","ENSG00000134900","TPP2"
"5705","ENSG00000102970","CCL17"
"5706","ENSG00000270971","REXO1L8P"
"5707","ENSG00000206228","HNRNPA1P4"
"5708","ENSG00000254954","SLC2A13P1"
"5710","ENSG00000203413","ACTBP6"
"5711","ENSG00000164949","GEM"
"5712","ENSG00000256896","PSMC1P8"
"5713","ENSG00000281886","TGM4"
"5716","ENSG00000145681","HAPLN1"
"5717","ENSG00000160994","TEKTL1"
"5718","ENSG00000111224","PARP11"
"5723","ENSG00000280774","LEUTX"
"5728","ENSG00000007545","CRAMP1"
"5729","ENSG00000152804","HHEX"
"5731","ENSG00000281320","DYRK1B"
"5732","ENSG00000127529","OR7C2"
"5734","ENSG00000186204","CYP4F12"
"5736","ENSG00000125818","PSMF1"
"5738","ENSG00000253710","ALG11"
"5740","ENSG00000264311","MIX23P1"
"5742","ENSG00000259467","NDUFAF4P1"
"5743","ENSG00000265038","PMM2P1"
"5744","ENSG00000136381","IREB2"
"5750","ENSG00000156103","MMP16"
"5751","ENSG00000107771","CCSER2"
"5752","ENSG00000274838","MIR6788"
"5755","ENSG00000170677","SOCS6"
"5760","ENSG00000139496","NUP58"
"5761","ENSG00000244527","RPL21P128"
"5762","ENSG00000251886","RNU6-120P"
"5763","ENSG00000038427","VCAN"
"5764","ENSG00000263748","EXOGP1"
"5766","ENSG00000147160","AWAT2"
"5768","ENSG00000167088","SNRPD1"
"5769","ENSG00000158201","ABHD3"
"5770","ENSG00000101843","PSMD10"
"5772","ENSG00000229468","RPL39P18"
"5773","ENSG00000130038","CRACR2A"
"5775","ENSG00000228767","KRT8P18"
"5776","ENSG00000254045","IGHVIII-22-2"
"5778","ENSG00000211956","IGHV4-34"
"5779","ENSG00000215388","ACTG1P3"
"5780","ENSG00000226489","RPL36AP17"
"5782","ENSG00000101298","SNPH"
"5783","ENSG00000140057","AK7"
"5785","ENSG00000230697","SAP18P3"
"5787","ENSG00000183977","PP2D1"
"5788","ENSG00000281626","ZNF852"
"5789","ENSG00000254195","TPM3P3"
"5790","ENSG00000102962","CCL22"
"5792","ENSG00000250169","MTND5P13"
"5793","ENSG00000147613","PSKH2"
"5794","ENSG00000251219","LINC01217"
"5797","ENSG00000250922","ATP5F1EP1"
"5799","ENSG00000078725","BRINP1"
"5800","ENSG00000169116","PARM1"
"5801","ENSG00000235593","RBMS3-AS1"
"5802","ENSG00000256812","CAPNS2"
"5803","ENSG00000230398","HINT2P1"
"5805","ENSG00000278499","NPAP1L"
"5807","ENSG00000244043","RPS27P27"
"5808","ENSG00000091317","CMTM6"
"5810","ENSG00000261807","LINC02141"
"5811","ENSG00000147596","PRDM14"
"5812","ENSG00000135720","DYNC1LI2"
"5815","ENSG00000169836","TACR3"
"5816","ENSG00000221493","MIR320C1"
"5818","ENSG00000244754","N4BP2L2"
"5820","ENSG00000213781","PSMC1P2"
"5823","ENSG00000119537","KDSR"
"5824","ENSG00000179869","ABCA13"
"5825","ENSG00000230342","FANCD2P2"
"5826","ENSG00000285445","TUSC2P2"
"5827","ENSG00000254174","IGHV1-12"
"5829","ENSG00000066455","GOLGA5"
"5832","ENSG00000130224","LRCH2"
"5833","ENSG00000164687","FABP5"
"5834","ENSG00000165476","REEP3"
"5835","ENSG00000214641","RPS15AP20"
"5837","ENSG00000146166","LGSN"
"5838","ENSG00000125775","SDCBP2"
"5840","ENSG00000157152","SYN2"
"5841","ENSG00000023697","DERA"
"5843","ENSG00000198367","OR7A11P"
"5845","ENSG00000250651","PABPC1P7"
"5848","ENSG00000105135","ILVBL"
"5849","ENSG00000291488","ITGA9"
"5850","ENSG00000153064","BANK1"
"5851","ENSG00000291489","RPL21P135"
"5852","ENSG00000291491","NDUFAF4P3"
"5853","ENSG00000291493","RNU7-73P"
"5856","ENSG00000291496","ITGA9-AS1"
"5857","ENSG00000148123","PLPPR1"
"5858","ENSG00000269891","ARHGAP19-SLIT1"
"5859","ENSG00000259440","NPM1P43"
"5861","ENSG00000138622","HCN4"
"5862","ENSG00000232702","WTAPP2"
"5863","ENSG00000220212","OR4F1P"
"5864","ENSG00000154079","SDHAF4"
"5866","ENSG00000214549","SDHCP2"
"5867","ENSG00000095587","TLL2"
"5868","ENSG00000281403","MIR6719"
"5869","ENSG00000280548","FBL"
"5872","ENSG00000236191","RPS15AP25"
"5873","ENSG00000253226","HAUS1P3"
"5876","ENSG00000217527","RPS16P5"
"5878","ENSG00000164951","PDP1"
"5881","ENSG00000065615","CYB5R4"
"5883","ENSG00000236783","RPS15AP27"
"5884","ENSG00000274374","TUBAP6"
"5885","ENSG00000069509","FUNDC1"
"5886","ENSG00000136937","NCBP1"
"5887","ENSG00000179151","EDC3"
"5888","ENSG00000070269","TMEM260"
"5889","ENSG00000253655","JCHAINP1"
"5890","ENSG00000182362","YBEY"
"5891","ENSG00000104321","TRPA1"
"5892","ENSG00000147082","CCNB3"
"5893","ENSG00000065833","ME1"
"5894","ENSG00000198168","SVIP"
"5896","ENSG00000119541","VPS4B"
"5899","ENSG00000284436","MIR6869"
"5900","ENSG00000196209","SIRPB2"
"5901","ENSG00000121380","BCL2L14"
"5902","ENSG00000215151","ABCD1P2"
"5904","ENSG00000148572","NRBF2"
"5905","ENSG00000240654","C1QTNF9"
"5906","ENSG00000170946","DNAJC24"
"5908","ENSG00000235239","ACTRT1P1"
"5910","ENSG00000141076","UTP4"
"5911","ENSG00000196767","POU3F4"
"5912","ENSG00000235677","NPM1P26"
"5913","ENSG00000165841","CYP2C19"
"5914","ENSG00000173988","LRRC63"
"5916","ENSG00000228041","EIF3JP1"
"5918","ENSG00000252103","RNU6-917P"
"5919","ENSG00000125900","SIRPD"
"5921","ENSG00000230543","SNX3P1X"
"5922","ENSG00000280932","PRR13P5"
"5923","ENSG00000283594","FAM236C"
"5924","ENSG00000281221","PSMC4"
"5925","ENSG00000078589","P2RY10"
"5926","ENSG00000146143","PRIM2"
"5928","ENSG00000280165","PCDH20"
"5929","ENSG00000160298","C21orf58"
"5930","ENSG00000150459","SAP18"
"5931","ENSG00000271523","TVP23BP3"
"5935","ENSG00000213498","TPT1P13"
"5936","ENSG00000124104","SNX21"
"5937","ENSG00000235124","KRT8P17"
"5939","ENSG00000147121","KRBOX4"
"5940","ENSG00000226412","LINC02628"
"5941","ENSG00000255416","OR10AF1P"
"5942","ENSG00000233533","MKNK2P1"
"5943","ENSG00000213484","EIF4A1P8"
"5944","ENSG00000186526","CYP4F8"
"5945","ENSG00000187553","CYP26C1"
"5946","ENSG00000186113","OR5D14"
"5947","ENSG00000224263","CYCSP12"
"5948","ENSG00000283068","IBTK"
"5949","ENSG00000181943","OR4A21P"
"5952","ENSG00000144596","GRIP2"
"5953","ENSG00000254408","OR4A1P"
"5955","ENSG00000079112","CDH17"
"5957","ENSG00000255349","OR4A7P"
"5958","ENSG00000255078","OR4A6P"
"5960","ENSG00000254637","OR4A18P"
"5961","ENSG00000155629","PIK3AP1"
"5964","ENSG00000259595","CTDSPL2-DT"
"5967","ENSG00000255427","LINC02707"
"5968","ENSG00000137764","MAP2K5"
"5969","ENSG00000279761","OR5D13"
"5974","ENSG00000226049","TLK2P1"
"5975","ENSG00000186509","OR9Q1"
"5976","ENSG00000152611","CAPSL"
"5978","ENSG00000206075","SERPINB5"
"5981","ENSG00000185775","SPATA31A6"
"5983","ENSG00000279514","OR4C16"
"5984","ENSG00000255096","OR5B10P"
"5986","ENSG00000254624","OR4R3P"
"5988","ENSG00000181837","OR5D17P"
"5989","ENSG00000187210","GCNT1"
"5990","ENSG00000186082","KRT18P14"
"5993","ENSG00000166326","TRIM44"
"5994","ENSG00000179715","PCED1B"
"5996","ENSG00000090776","EFNB1"
"5997","ENSG00000231417","IRX1P1"
"5998","ENSG00000226695","ANKRD20A10P"
"5999","ENSG00000075673","ATP12A"
"6000","ENSG00000278540","ACACA"
"6002","ENSG00000236709","DAPK1-IT1"
"6005","ENSG00000229753","RPS27AP15"
"6006","ENSG00000196781","TLE1"
"6007","ENSG00000253491","IGHVII-30-1"
"6008","ENSG00000253458","IGHVII-15-1"
"6011","ENSG00000253755","IGHGP"
"6012","ENSG00000139044","B4GALNT3"
"6013","ENSG00000132801","ZSWIM3"
"6014","ENSG00000211958","IGHV3-38"
"6015","ENSG00000253957","IGHV3-22"
"6017","ENSG00000227427","MDH1P1"
"6018","ENSG00000170779","CDCA4"
"6020","ENSG00000226579","MTCYBP31"
"6023","ENSG00000281526","ZNF546"
"6025","ENSG00000102055","PPP1R2C"
"6026","ENSG00000214318","ATP5MC1P6"
"6027","ENSG00000100979","PLTP"
"6028","ENSG00000110048","OSBP"
"6029","ENSG00000171791","BCL2"
"6030","ENSG00000183035","CYLC1"
"6036","ENSG00000253359","IGHV3-37"
"6038","ENSG00000184486","POU3F2"
"6039","ENSG00000211952","IGHV4-28"
"6040","ENSG00000181626","ANKRD62"
"6042","ENSG00000234838","PPIAP78"
"6043","ENSG00000249668","KRT18P56"
"6044","ENSG00000253325","IGHV7-34-1"
"6045","ENSG00000254215","IGHVIII-11-1"
"6046","ENSG00000211947","IGHV3-21"
"6047","ENSG00000224072","VEZTP1"
"6048","ENSG00000147223","RIPPLY1"
"6049","ENSG00000249616","CCNB3P1"
"6056","ENSG00000269787","OR7A3P"
"6058","ENSG00000253482","IGHVII-26-2"
"6059","ENSG00000113088","GZMK"
"6061","ENSG00000282639","IGHV3-64D"
"6062","ENSG00000198551","ZNF627"
"6063","ENSG00000220831","NDUFA5P9"
"6066","ENSG00000283607","IGHVII-30-21"
"6068","ENSG00000254046","IGHV1-17"
"6069","ENSG00000207474","RNY1P7"
"6070","ENSG00000219257","NPM1P38"
"6071","ENSG00000259059","PEBP1P1"
"6072","ENSG00000225404","RPL26P34"
"6073","ENSG00000132972","RNF17"
"6074","ENSG00000211957","IGHV3-35"
"6075","ENSG00000211943","IGHV3-15"
"6076","ENSG00000226955","POLE4P1"
"6077","ENSG00000237982","CDC42P7"
"6078","ENSG00000057657","PRDM1"
"6079","ENSG00000213140","ELK2AP"
"6080","ENSG00000236158","RFC3P1"
"6081","ENSG00000254326","IGHV7-27"
"6082","ENSG00000253240","IGHV3-36"
"6083","ENSG00000253441","IGHV3-25"
"6084","ENSG00000114166","KAT2B"
"6085","ENSG00000100600","LGMN"
"6086","ENSG00000113273","ARSB"
"6088","ENSG00000235382","MTND4P31"
"6089","ENSG00000215197","PGAM4P1"
"6090","ENSG00000215035","FDPSP5"
"6091","ENSG00000234901","MTND6P13"
"6093","ENSG00000185753","CXorf38"
"6094","ENSG00000250858","IGBP1P5"
"6095","ENSG00000251571","DDX3P3"
"6097","ENSG00000138678","GPAT3"
"6098","ENSG00000156650","KAT6B"
"6099","ENSG00000200827","RNU6-324P"
"6100","ENSG00000267116","PMM2P2"
"6103","ENSG00000176923","OR7A15P"
"6104","ENSG00000267076","MIX23P3"
"6105","ENSG00000267663","PPIAP56"
"6106","ENSG00000225043","RPL18AP2"
"6107","ENSG00000105141","CASP14"
"6108","ENSG00000223692","DIP2A-IT1"
"6109","ENSG00000176194","CIDEA"
"6110","ENSG00000202239","RNU6-396P"
"6111","ENSG00000215088","RPS5P3"
"6112","ENSG00000159131","GART"
"6113","ENSG00000172772","OR10W1"
"6114","ENSG00000254807","OR10AK1P"
"6115","ENSG00000197786","OR5B17"
"6120","ENSG00000281601","ZNF780B"
"6121","ENSG00000256134","EGLN3P1"
"6122","ENSG00000221840","OR4A5"
"6126","ENSG00000023734","STRAP"
"6127","ENSG00000235656","RPL36P18"
"6128","ENSG00000215093","EEF1A1P29"
"6131","ENSG00000254894","NAV2-AS1"
"6132","ENSG00000225728","TMEM230P1"
"6133","ENSG00000241228","RPL12P31"
"6134","ENSG00000230706","TMEM184CP1"
"6135","ENSG00000135362","PRR5L"
"6136","ENSG00000235735","RPL7AP72"
"6137","ENSG00000267961","OR10B1P"
"6139","ENSG00000228450","NLRP7P1"
"6140","ENSG00000237206","IMPDH1P4"
"6141","ENSG00000226372","DCAF8L1"
"6142","ENSG00000064490","RFXANK"
"6143","ENSG00000213653","RPL22P22"
"6145","ENSG00000236735","RPL31P63"
"6146","ENSG00000186767","SPIN4"
"6148","ENSG00000073150","PANX2"
"6149","ENSG00000133401","PDZD2"
"6150","ENSG00000214018","RRM2P3"
"6151","ENSG00000214009","PCNAP3"
"6152","ENSG00000228301","RPL7P55"
"6153","ENSG00000230916","MTCO1P53"
"6154","ENSG00000224217","PRPF4BP1"
"6155","ENSG00000198354","DCAF12L2"
"6157","ENSG00000234463","COX6CP12"
"6160","ENSG00000189401","OTUD6A"
"6162","ENSG00000087253","LPCAT2"
"6165","ENSG00000237891","UBE2V1P16"
"6167","ENSG00000270416","REXO1L4P"
"6168","ENSG00000125676","THOC2"
"6169","ENSG00000147649","MTDH"
"6172","ENSG00000199702","RNU6-170P"
"6173","ENSG00000277899","MLECP1"
"6174","ENSG00000267414","SETBP1-DT"
"6175","ENSG00000280568","ZNF780A"
"6177","ENSG00000265957","MIR4319"
"6179","ENSG00000100982","PCIF1"
"6182","ENSG00000279020","C18orf15"
"6183","ENSG00000187118","CMC1"
"6184","ENSG00000248640","HNRNPA1P56"
"6187","ENSG00000266146","MIR5190"
"6188","ENSG00000263527","MIR4526"
"6190","ENSG00000177150","FAM210A"
"6191","ENSG00000170638","TRABD"
"6193","ENSG00000228656","MYO5BP3"
"6194","ENSG00000174796","THAP6"
"6195","ENSG00000239792","CDRT15P5"
"6196","ENSG00000235901","CCSER2P1"
"6197","ENSG00000180447","GAS1"
"6199","ENSG00000226246","KRT18P36"
"6200","ENSG00000127084","FGD3"
"6201","ENSG00000251234","PSMA2P2"
"6203","ENSG00000232953","HSPA8P18"
"6204","ENSG00000102606","ARHGEF7"
"6205","ENSG00000253137","PSMC2P2"
"6206","ENSG00000198026","ZNF335"
"6207","ENSG00000146592","CREB5"
"6208","ENSG00000104356","POP1"
"6209","ENSG00000255991","RPL7AP74"
"6211","ENSG00000168928","CTRB2"
"6215","ENSG00000242707","RN7SL362P"
"6216","ENSG00000093217","XYLB"
"6217","ENSG00000101654","RNMT"
"6218","ENSG00000261080","RUNX2-AS1"
"6219","ENSG00000167778","SPRYD3"
"6220","ENSG00000170915","PAQR8"
"6221","ENSG00000110442","COMMD9"
"6222","ENSG00000250223","LINC01216"
"6223","ENSG00000145354","CISD2"
"6225","ENSG00000203972","GLYATL3"
"6227","ENSG00000103089","FA2H"
"6228","ENSG00000156535","CD109"
"6231","ENSG00000281123","FCGBP"
"6232","ENSG00000251149","MTND5P5"
"6233","ENSG00000236068","NT5ELP"
"6234","ENSG00000164032","H2AZ1"
"6237","ENSG00000130449","ZSWIM6"
"6238","ENSG00000235525","FTLP1"
"6239","ENSG00000100985","MMP9"
"6241","ENSG00000277770","PLA2G10GP"
"6250","ENSG00000186660","ZFP91"
"6252","ENSG00000204044","SLC12A5-AS1"
"6253","ENSG00000171724","VAT1L"
"6256","ENSG00000088832","FKBP1A"
"6259","ENSG00000240412","RPL5P15"
"6261","ENSG00000139173","TMEM117"
"6262","ENSG00000164171","ITGA2"
"6265","ENSG00000169288","MRPL1"
"6267","ENSG00000188130","MAPK12"
"6268","ENSG00000164627","KIF6"
"6269","ENSG00000253302","STAU2-AS1"
"6270","ENSG00000177459","ERICH5"
"6271","ENSG00000259186","MRPS15P1"
"6273","ENSG00000230183","CNOT6LP1"
"6275","ENSG00000250857","TRIM60P15"
"6278","ENSG00000260689","HNRNPA3P11"
"6279","ENSG00000251347","IRF5P1"
"6280","ENSG00000178573","MAF"
"6284","ENSG00000282100","HSP90AB4P"
"6285","ENSG00000243504","RPS23P1"
"6286","ENSG00000176753","PAK6-AS1"
"6287","ENSG00000147586","MRPS28"
"6289","ENSG00000225997","OR4A8"
"6291","ENSG00000216708","CIR1P3"
"6293","ENSG00000149124","GLYAT"
"6294","ENSG00000041357","PSMA4"
"6295","ENSG00000103047","TANGO6"
"6296","ENSG00000090061","CCNK"
"6297","ENSG00000225116","TCEAL9P1"
"6298","ENSG00000088836","SLC4A11"
"6301","ENSG00000179460","EEF1A1P27"
"6302","ENSG00000002746","HECW1"
"6303","ENSG00000176566","DCAF4L2"
"6304","ENSG00000230538","PNPLA10P"
"6305","ENSG00000234404","SPRYD7P1"
"6306","ENSG00000137571","SLCO5A1"
"6307","ENSG00000223772","GEMIN8P3"
"6309","ENSG00000257987","SPMIP11"
"6310","ENSG00000078596","ITM2A"
"6312","ENSG00000151229","SLC2A13"
"6313","ENSG00000145348","TBCK"
"6316","ENSG00000254708","MMADHCP2"
"6317","ENSG00000255450","EEF1A1P47"
"6318","ENSG00000150244","TRIM48"
"6320","ENSG00000119509","INVS"
"6326","ENSG00000132205","EMILIN2"
"6327","ENSG00000152910","CNTNAP4"
"6328","ENSG00000285063","FRG2"
"6330","ENSG00000283153","FRG1"
"6331","ENSG00000255359","CCDC179"
"6338","ENSG00000118407","FILIP1"
"6339","ENSG00000254768","SLC17A6-DT"
"6340","ENSG00000264186","SNRPCP4"
"6341","ENSG00000230956","CAPZA1P1"
"6345","ENSG00000227806","OR5W1P"
"6346","ENSG00000252353","RNU7-25P"
"6347","ENSG00000235425","RPS7P13"
"6349","ENSG00000233433","CBLL1P1"
"6350","ENSG00000272900","OR10Q2P"
"6351","ENSG00000102021","LUZP4"
"6352","ENSG00000180116","REDIC1"
"6353","ENSG00000167825","OR5I1"
"6354","ENSG00000101608","MYL12A"
"6355","ENSG00000187612","OR5W2"
"6356","ENSG00000162174","ASRGL1"
"6357","ENSG00000140104","CLBA1"
"6358","ENSG00000227234","SPANXB1"
"6359","ENSG00000112218","GPR63"
"6361","ENSG00000105393","BABAM1"
"6362","ENSG00000234176","HSPA8P1"
"6363","ENSG00000219902","RPL35P3"
"6365","ENSG00000213177","PRDX2P4"
"6366","ENSG00000225912","RPL26P36"
"6370","ENSG00000146233","CYP39A1"
"6372","ENSG00000046774","MAGEC2"
"6374","ENSG00000175548","ALG10B"
"6375","ENSG00000283508","MLLT10P2"
"6378","ENSG00000249510","RPL6P23"
"6379","ENSG00000283593","TUBB7P"
"6381","ENSG00000233243","VKORC1P1"
"6382","ENSG00000228532","SUMO2P21"
"6384","ENSG00000229829","DUTP4"
"6385","ENSG00000179542","SLITRK4"
"6386","ENSG00000283700","RNA5SP174"
"6387","ENSG00000120963","ZNF706"
"6388","ENSG00000283581","RNA5SP175"
"6389","ENSG00000283181","DUX4L9"
"6390","ENSG00000283449","RARRES2P4"
"6398","ENSG00000186462","NAP1L2"
"6403","ENSG00000283660","RPL23AP84"
"6405","ENSG00000232149","FERP1"
"6408","ENSG00000283363","DUX4L8"
"6409","ENSG00000270431","PHF5AP4"
"6410","ENSG00000283949","DUX4"
"6412","ENSG00000102241","HTATSF1"
"6415","ENSG00000183576","SETD3"
"6416","ENSG00000257173","AK6P2"
"6419","ENSG00000258278","CLUHP8"
"6420","ENSG00000254589","EIF4A2P3"
"6423","ENSG00000185652","NTF3"
"6424","ENSG00000228976","SUMO2P8"
"6426","ENSG00000109911","ELP4"
"6427","ENSG00000219163","HMGB1P20"
"6429","ENSG00000134115","CNTN6"
"6431","ENSG00000118680","MYL12B"
"6433","ENSG00000257927","MRPS36P5"
"6435","ENSG00000005700","IBTK"
"6439","ENSG00000258794","DUX4L27"
"6440","ENSG00000125967","NECAB3"
"6441","ENSG00000237650","OR11Q1P"
"6443","ENSG00000250788","TUBB8P4"
"6444","ENSG00000235334","BTG3P1"
"6446","ENSG00000233548","CYCSP44"
"6447","ENSG00000235976","H2BP8"
"6448","ENSG00000185386","MAPK11"
"6450","ENSG00000257402","KRT126P"
"6451","ENSG00000183434","TFDP3"
"6453","ENSG00000173954","SNURFL"
"6457","ENSG00000042813","ZPBP"
"6458","ENSG00000185069","KRT76"
"6459","ENSG00000231501","MTND4LP1"
"6460","ENSG00000242610","OR5BH1P"
"6461","ENSG00000232242","ZYG11AP1"
"6462","ENSG00000236080","YAP1P2"
"6465","ENSG00000089289","IGBP1"
"6466","ENSG00000251702","RNU6-857P"
"6467","ENSG00000136824","SMC2"
"6468","ENSG00000164924","YWHAZ"
"6469","ENSG00000134762","DSC3"
"6470","ENSG00000282867","RNU6-130P"
"6473","ENSG00000283085","TPBG"
"6474","ENSG00000233956","BTF3P6"
"6475","ENSG00000284448","MIR6501"
"6476","ENSG00000159147","DONSON"
"6477","ENSG00000258239","MTND2P17"
"6479","ENSG00000213363","RPS3P6"
"6481","ENSG00000213352","GAPDHP44"
"6482","ENSG00000258360","NF1P12"
"6483","ENSG00000258331","LINC02461"
"6485","ENSG00000139117","CPNE8"
"6486","ENSG00000189252","SPANXN3"
"6488","ENSG00000226685","CT47A12"
"6489","ENSG00000218728","KRT18P44"
"6491","ENSG00000280752","LINC00850"
"6493","ENSG00000233467","HAX1P1"
"6494","ENSG00000233229","CNOT7P1"
"6495","ENSG00000232787","OR7L1P"
"6496","ENSG00000228466","TUBB4AP1"
"6497","ENSG00000224589","ORC1P1"
"6501","ENSG00000131725","WDR44"
"6503","ENSG00000088682","COQ9"
"6504","ENSG00000134765","DSC1"
"6507","ENSG00000223970","RRBP1P1"
"6508","ENSG00000187258","NPSR1"
"6509","ENSG00000253709","IGHV1-14"
"6511","ENSG00000211946","IGHV3-20"
"6512","ENSG00000253440","IGHV3-33-2"
"6513","ENSG00000258544","GLRXP2"
"6514","ENSG00000185567","AHNAK2"
"6515","ENSG00000253367","IGHVIII-25-1"
"6516","ENSG00000211950","IGHV1-24"
"6517","ENSG00000211955","IGHV3-33"
"6518","ENSG00000165914","TTC7B"
"6519","ENSG00000134760","DSG1"
"6520","ENSG00000242259","C22orf39"
"6521","ENSG00000281226","LINC02783"
"6524","ENSG00000259691","FKBP1AP2"
"6525","ENSG00000281459","PADI1"
"6526","ENSG00000139610","CELA1"
"6528","ENSG00000213578","CPLX3"
"6529","ENSG00000070761","CFAP20"
"6530","ENSG00000159289","GOLGA6A"
"6531","ENSG00000142188","TMEM50B"
"6532","ENSG00000130287","NCAN"
"6533","ENSG00000249264","EEF1A1P9"
"6534","ENSG00000167077","MEI1"
"6535","ENSG00000138801","PAPSS1"
"6537","ENSG00000139239","RPL14P1"
"6538","ENSG00000207019","RNU6-167P"
"6540","ENSG00000154611","PSMA8"
"6541","ENSG00000170545","SMAGP"
"6542","ENSG00000142611","PRDM16"
"6544","ENSG00000225275","NUP210P2"
"6547","ENSG00000168925","CTRB1"
"6548","ENSG00000131378","RFTN1"
"6549","ENSG00000242706","RPS27AP9"
"6550","ENSG00000241965","RPS2P25"
"6552","ENSG00000243592","RPL17P22"
"6553","ENSG00000157502","PWWP3B"
"6554","ENSG00000164190","NIPBL"
"6555","ENSG00000140474","ULK3"
"6556","ENSG00000280549","PADI3"
"6557","ENSG00000230079","STK24P1"
"6560","ENSG00000236747","LINC01282"
"6561","ENSG00000105705","SUGP1"
"6563","ENSG00000232549","SRD5A1P1"
"6564","ENSG00000230788","CTDSPL2P2"
"6566","ENSG00000241644","INMT"
"6567","ENSG00000135736","CCDC102A"
"6568","ENSG00000271826","PLS3-AS1"
"6569","ENSG00000258036","KRT125P"
"6570","ENSG00000258316","KLF17P1"
"6573","ENSG00000237584","RAC1P4"
"6574","ENSG00000102239","BRS3"
"6575","ENSG00000257675","BTBD10P1"
"6576","ENSG00000257664","RSL24D1P5"
"6577","ENSG00000243646","IL10RB"
"6578","ENSG00000174718","RESF1"
"6579","ENSG00000177736","FXNP2"
"6580","ENSG00000251349","MSANTD3-TMEFF1"
"6581","ENSG00000281404","LINC01176"
"6582","ENSG00000198881","ASB12"
"6583","ENSG00000154845","PPP4R1"
"6584","ENSG00000229478","ROBO2P1"
"6586","ENSG00000164742","ADCY1"
"6587","ENSG00000226929","CT47A11"
"6588","ENSG00000132964","CDK8"
"6589","ENSG00000260332","DPPA3P11"
"6591","ENSG00000270709","UFM1P1"
"6600","ENSG00000176692","FOXC2"
"6601","ENSG00000207932","MIR33A"
"6602","ENSG00000159958","TNFRSF13C"
"6603","ENSG00000237828","PA2G4P1"
"6604","ENSG00000184675","AMER1"
"6606","ENSG00000281810","MIR3972"
"6607","ENSG00000280908","PADI4"
"6609","ENSG00000283829","MIR378I"
"6610","ENSG00000156925","ZIC3"
"6611","ENSG00000198951","NAGA"
"6612","ENSG00000157303","SUSD3"
"6613","ENSG00000050820","BCAR1"
"6614","ENSG00000280584","OBP2B"
"6615","ENSG00000251636","LINC01218"
"6617","ENSG00000253989","IGHVIII-38-1"
"6620","ENSG00000270550","IGHV3-30"
"6621","ENSG00000119714","GPR68"
"6622","ENSG00000223995","RPL32P35"
"6624","ENSG00000232496","RPL3P12"
"6625","ENSG00000198573","SPANXC"
"6628","ENSG00000138663","COPS4"
"6631","ENSG00000233560","KRT8P39"
"6632","ENSG00000149609","C20orf144"
"6633","ENSG00000165966","PDZRN4"
"6634","ENSG00000115705","TPO"
"6637","ENSG00000176970","RPL7L1P11"
"6638","ENSG00000203923","SPANXN1"
"6639","ENSG00000280820","LCN1P1"
"6641","ENSG00000258423","OR7E105P"
"6642","ENSG00000273894","SLC20A1P2"
"6643","ENSG00000282651","IGHV5-10-1"
"6645","ENSG00000101412","E2F1"
"6646","ENSG00000258869","LINC02312"
"6647","ENSG00000152315","KCNK13"
"6649","ENSG00000268883","PNMA6B"
"6650","ENSG00000281430","LCN1P2"
"6651","ENSG00000166016","ABTB2"
"6652","ENSG00000165509","MAGEC3"
"6653","ENSG00000281309","SURF6"
"6654","ENSG00000159128","IFNGR2"
"6655","ENSG00000254289","IGHV3-32"
"6656","ENSG00000254203","IGHVII-33-1"
"6657","ENSG00000211951","IGHV2-26"
"6660","ENSG00000165392","WRN"
"6662","ENSG00000042088","TDP1"
"6663","ENSG00000148200","NR6A1"
"6664","ENSG00000280949","PADI6"
"6667","ENSG00000236529","LINC03129"
"6670","ENSG00000235254","TMEM185AP1"
"6671","ENSG00000101417","PXMP4"
"6672","ENSG00000227426","VN1R33P"
"6673","ENSG00000232612","RPL31P35"
"6674","ENSG00000188730","VWC2"
"6675","ENSG00000152944","MED21"
"6676","ENSG00000231093","TRMT1P1"
"6677","ENSG00000232177","MTND4P24"
"6679","ENSG00000185903","OR11N1P"
"6681","ENSG00000171116","HSFX1"
"6683","ENSG00000182712","CMC4"
"6684","ENSG00000157911","PEX10"
"6686","ENSG00000281022","MED22"
"6687","ENSG00000227344","HAUS6P1"
"6688","ENSG00000224101","ELMO1-AS1"
"6689","ENSG00000106483","SFRP4"
"6690","ENSG00000281391","RCC2-AS1"
"6691","ENSG00000281540","RCC2"
"6692","ENSG00000170293","CMTM8"
"6694","ENSG00000223516","AFF2-IT1"
"6697","ENSG00000228042","M6PRP1"
"6698","ENSG00000226064","PGBD4P6"
