"geneid","gene_name"
"420","ENSG00000234385","RCC2P1"
"421","ENSG00000226863","SHROOM2P1"
"423","ENSG00000259029","DUX4L18"
"424","ENSG00000215537","ZNF736P11Y"
"425","ENSG00000229745","BPY2DP"
"426","ENSG00000275828","CHEK2P1"
"427","ENSG00000232522","ZNF886P"
"428","ENSG00000277519","OFD1P16Y"
"430","ENSG00000215583","ASS1P6"
"431","ENSG00000274162","SNX18P1Y"
"432","ENSG00000233774","MED14P1"
"433","ENSG00000228764","ZNF885P"
"434","ENSG00000232226","ARSFP1"
"436","ENSG00000241200","ZNF736P7Y"
"437","ENSG00000228518","SURF6P1"
"439","ENSG00000274502","ANKRD20A6P"
"441","ENSG00000225809","RBMY2KP"
"442","ENSG00000232419","TTTY19"
"443","ENSG00000226906","TTTY4"
"445","ENSG00000235649","MXRA5Y"
"446","ENSG00000258567","DUX4L16"
"447","ENSG00000234179","MTCYBP1"
"449","ENSG00000228240","TTTY17A"
"450","ENSG00000234652","AGPAT5P1"
"452","ENSG00000224989","FAM41AY1"
"454","ENSG00000227830","TRIM60P3Y"
"455","ENSG00000226529","MTND1P1"
"457","ENSG00000216777","PRRC2CP1"
"458","ENSG00000216824","ZNF736P10Y"
"461","ENSG00000234850","MTND2P3"
"465","ENSG00000225117","ARSDP1"
"466","ENSG00000228411","CDY4P"
"467","ENSG00000229518","UBE2V1P3"
"468","ENSG00000232730","FAM8A4P"
"470","ENSG00000232764","TRIM60P8Y"
"471","ENSG00000236131","MED13P1"
"472","ENSG00000227949","CYCSP46"
"473","ENSG00000252900","RNU6-303P"
"475","ENSG00000243980","RN7SL702P"
"476","ENSG00000252315","RNA5SP520"
"477","ENSG00000252012","RNA5SP521"
"479","ENSG00000252173","RNU6-109P"
"480","ENSG00000252323","RNU6-184P"
"481","ENSG00000169953","HSFY2"
"482","ENSG00000236429","GPM6BP2"
"483","ENSG00000249501","USP9YP2"
"484","ENSG00000228193","ELOCP14"
"485","ENSG00000230904","XKRYP2"
"486","ENSG00000238135","USP9YP10"
"487","ENSG00000251970","RNU1-41P"
"488","ENSG00000238088","OFD1P7Y"
"489","ENSG00000217179","MTCYBP2"
"490","ENSG00000217896","ZNF839P1"
"491","ENSG00000185275","CD24P4"
"492","ENSG00000252766","RNU6-255P"
"493","ENSG00000288269","GCGR"
"495","ENSG00000234529","GAPDHP19"
